Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
43,,2019-01-18,24-271,MIA,@,DET,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,2019-01-19,24-272,MIA,@,CHI,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,,2019-01-21,24-274,MIA,@,BOS,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,2019-01-23,24-276,MIA,,LAC,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,,2019-01-25,24-278,MIA,@,CLE,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,,2019-01-27,24-280,MIA,@,NYK,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,2019-01-30,24-283,MIA,,CHI,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,2019-02-01,24-285,MIA,,OKC,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2019-02-02,24-286,MIA,,IND,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2019-02-05,24-289,MIA,@,POR,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,5,2019-02-08,24-292,MIA,@,SAC,L (-6),0,5:16,1,1,1,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-5
54,,2019-02-10,24-294,MIA,@,GSW,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,6,2019-02-11,24-295,MIA,@,DEN,L (-16),0,1:53,0,1,0,0,1,0,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+2
56,,2019-02-13,24-297,MIA,@,DAL,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,,2019-02-21,24-305,MIA,@,PHI,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,7,2019-02-23,24-307,MIA,,DET,L (-23),0,12:49,1,2,0.5,1,2,0.5,1,2,0.5,0,1,1,0,0,0,0,0,4,2.9,+1
59,8,2019-02-25,24-309,MIA,,PHO,L (-3),1,22:17,2,6,0.333,1,5,0.2,0,0,,0,1,1,1,1,0,1,3,5,1.4,-3
60,,2019-02-27,24-311,MIA,,GSW,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,,2019-02-28,24-312,MIA,@,HOU,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,9,2019-03-02,24-314,MIA,,BRK,W (+29),0,5:46,2,4,0.5,2,3,0.667,0,0,,0,1,1,0,0,0,0,0,6,4.3,+2
63,,2019-03-04,24-316,MIA,,ATL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,,2019-03-06,24-318,MIA,@,CHO,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,,2019-03-08,24-320,MIA,,CLE,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,,2019-03-10,24-322,MIA,,TOR,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
67,,2019-03-13,24-325,MIA,,DET,W (+34),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,,2019-03-15,24-327,MIA,,MIL,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,10,2019-03-17,24-329,MIA,,CHO,W (+18),0,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,
70,,2019-03-18,24-330,MIA,@,OKC,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,,2019-03-20,24-332,MIA,@,SAS,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
72,11,2019-03-22,24-334,MIA,@,MIL,L (-29),0,6:23,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,0,0,2,1.3,-6
73,,2019-03-23,24-335,MIA,@,WAS,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,,2019-03-26,24-338,MIA,,ORL,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
75,12,2019-03-28,24-340,MIA,,DAL,W (+6),0,21:31,2,9,0.222,1,7,0.143,1,1,1,0,2,2,1,1,0,0,1,6,2.4,+1
76,13,2019-03-30,24-342,MIA,@,NYK,W (+8),0,8:51,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,1,3,0,-2.9,-11
77,,2019-04-01,24-344,MIA,@,BOS,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
78,,2019-04-03,24-346,MIA,,BOS,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
79,,2019-04-05,24-348,MIA,@,MIN,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
80,,2019-04-07,24-350,MIA,@,TOR,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
81,14,2019-04-09,24-352,MIA,,PHI,W (+23),0,10:57,2,2,1,0,0,,0,0,,1,0,1,0,0,0,0,1,4,3.7,-3
82,15,2019-04-10,24-353,MIA,@,BRK,L (-19),0,36:00:00,5,12,0.417,3,9,0.333,2,3,0.667,1,4,5,3,2,0,2,2,15,11.4,-10
1,1,2019-10-23,25-184,MIA,,MEM,W (+19),0,22:56,1,5,0.2,1,5,0.2,0,0,,0,1,1,1,0,0,1,2,3,-0.9,-3
2,2,2019-10-26,25-187,MIA,@,MIL,W (+5),0,23:18,3,6,0.5,3,5,0.6,0,0,,0,0,0,0,0,1,0,3,9,5.5,+11
3,3,2019-10-27,25-188,MIA,@,MIN,L (-7),0,23:14,8,12,0.667,4,7,0.571,1,1,1,0,2,2,1,1,2,1,3,21,17.3,-8
4,4,2019-10-29,25-190,MIA,,ATL,W (+15),0,1:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1
5,5,2019-10-31,25-192,MIA,@,ATL,W (+9),1,26:53:00,5,10,0.5,2,6,0.333,0,0,,0,3,3,0,0,0,1,1,12,6.5,-3
6,6,2019-11-03,25-195,MIA,,HOU,W (+29),1,35:57:00,8,12,0.667,7,11,0.636,0,0,,0,6,6,1,0,2,1,0,23,20.7,+20
7,7,2019-11-05,25-197,MIA,@,DEN,L (-20),0,11:17,1,6,0.167,0,4,0,0,0,,1,1,2,0,0,0,0,1,2,-1.2,-3
8,8,2019-11-07,25-199,MIA,@,PHO,W (+16),1,27:37:00,1,5,0.2,1,4,0.25,3,3,1,0,6,6,1,1,1,0,4,6,5.5,+29
9,9,2019-11-08,25-200,MIA,@,LAL,L (-15),1,24:28:00,1,7,0.143,1,6,0.167,0,0,,0,3,3,2,1,0,0,3,3,0.6,-9
10,10,2019-11-12,25-204,MIA,,DET,W (+9),1,29:17:00,4,10,0.4,3,8,0.375,0,0,,0,2,2,0,0,0,4,5,11,0.2,0
11,11,2019-11-14,25-206,MIA,@,CLE,W (+11),1,26:27:00,4,8,0.5,3,7,0.429,0,0,,0,2,2,1,1,0,0,3,11,8.1,-12
12,12,2019-11-16,25-208,MIA,,NOP,W (+15),1,30:33:00,6,10,0.6,3,6,0.5,0,0,,0,1,1,1,3,0,1,1,15,13,+4
13,13,2019-11-20,25-212,MIA,,CLE,W (+24),1,34:07:00,9,15,0.6,9,15,0.6,2,2,1,0,2,2,0,0,0,0,2,29,21.9,+11
14,14,2019-11-22,25-214,MIA,@,CHI,W (+8),1,31:17:00,3,9,0.333,2,8,0.25,0,0,,1,2,3,2,1,0,0,1,8,6.2,-8
15,15,2019-11-23,25-215,MIA,@,PHI,L (-27),1,32:30:00,0,6,0,0,5,0,4,4,1,0,3,3,0,1,1,2,2,4,-0.4,-26
16,16,2019-11-25,25-217,MIA,,CHO,W (+17),1,22:23,2,6,0.333,2,6,0.333,0,0,,0,1,1,2,3,0,0,6,6,4.9,+9
17,17,2019-11-27,25-219,MIA,@,HOU,L (-9),1,21:24,4,8,0.5,3,7,0.429,2,2,1,0,3,3,1,1,0,1,5,13,8.6,-17
18,18,2019-11-29,25-221,MIA,,GSW,W (+17),1,20:37,5,7,0.714,5,7,0.714,2,3,0.667,0,2,2,1,0,0,2,2,17,12.2,+9
19,19,2019-12-01,25-223,MIA,@,BRK,W (+3),1,33:07:00,3,6,0.5,3,6,0.5,1,1,1,0,10,10,0,0,0,0,3,10,8.8,+14
20,20,2019-12-03,25-225,MIA,@,TOR,W (+11),1,27:00:00,8,11,0.727,6,9,0.667,0,0,,0,2,2,1,0,1,1,4,22,16.9,+11
21,21,2019-12-04,25-226,MIA,@,BOS,L (-19),1,28:45:00,4,8,0.5,2,6,0.333,0,0,,0,5,5,1,3,0,0,5,10,9.2,-4
22,22,2019-12-06,25-228,MIA,,WAS,W (+9),1,41:34:00,2,9,0.222,2,7,0.286,0,0,,0,4,4,1,0,0,1,1,6,1,+15
23,23,2019-12-08,25-230,MIA,,CHI,W (+5),1,21:39,3,9,0.333,3,8,0.375,0,0,,1,3,4,0,3,0,0,4,9,6.9,+2
24,24,2019-12-10,25-232,MIA,,ATL,W (+14),1,43:04:00,12,16,0.75,10,14,0.714,0,0,,0,3,3,4,0,1,0,3,34,30.8,+26
25,25,2019-12-13,25-235,MIA,,LAL,L (-3),1,36:28:00,3,8,0.375,3,7,0.429,0,0,,0,3,3,0,0,0,0,3,9,4.3,-1
26,26,2019-12-14,25-236,MIA,@,DAL,W (+4),1,36:22:00,3,10,0.3,3,10,0.3,0,0,,0,6,6,1,0,0,0,2,9,4.9,-6
27,27,2019-12-16,25-238,MIA,@,MEM,L (-7),1,23:16,4,6,0.667,4,6,0.667,0,0,,0,3,3,0,0,0,1,5,12,7.3,+8
28,28,2019-12-18,25-240,MIA,@,PHI,W (+4),1,38:14:00,5,11,0.455,3,9,0.333,2,2,1,2,3,5,1,0,1,0,2,15,12.2,-6
29,29,2019-12-20,25-242,MIA,,NYK,W (+15),1,22:36,6,10,0.6,6,10,0.6,0,0,,0,0,0,3,0,0,0,2,18,14.7,+24
30,30,2019-12-23,25-245,MIA,,UTA,W (+3),1,20:16,1,3,0.333,1,3,0.333,2,2,1,0,4,4,1,0,0,1,5,5,2.2,-3
31,31,2019-12-27,25-249,MIA,,IND,W (+1),1,28:07:00,6,11,0.545,6,10,0.6,0,0,,0,3,3,2,0,0,0,2,18,14.2,-6
32,32,2019-12-28,25-250,MIA,,PHI,W (+1),1,18:52,6,6,1,4,4,1,0,0,,0,4,4,0,0,0,1,5,16,12.4,+16
33,33,2019-12-30,25-252,MIA,@,WAS,L (-18),1,31:11:00,5,11,0.455,3,8,0.375,3,3,1,0,4,4,1,1,0,1,2,16,11.4,-13
34,34,2020-01-02,25-255,MIA,,TOR,W (+8),1,18:48,2,4,0.5,2,3,0.667,0,0,,0,4,4,1,0,0,1,1,6,4.5,+2
35,35,2020-01-03,25-256,MIA,@,ORL,L (-20),1,30:48:00,3,11,0.273,3,11,0.273,0,0,,0,3,3,1,0,0,2,1,9,1.7,-9
36,36,2020-01-05,25-258,MIA,,POR,W (+11),1,35:31:00,2,11,0.182,2,11,0.182,0,0,,1,6,7,0,1,0,1,4,6,0,0
37,37,2020-01-08,25-261,MIA,@,IND,W (+14),1,29:23:00,5,12,0.417,4,11,0.364,3,4,0.75,0,1,1,5,1,0,1,3,17,12.8,+14
38,38,2020-01-10,25-263,MIA,@,BRK,L (-4),1,27:03:00,3,7,0.429,2,6,0.333,0,0,,1,1,2,0,0,0,0,4,8,3.7,-10
39,39,2020-01-12,25-265,MIA,@,NYK,L (-3),1,27:41:00,3,10,0.3,3,10,0.3,2,2,1,0,4,4,4,0,0,1,3,11,7,+6
40,40,2020-01-15,25-268,MIA,,SAS,W (+6),1,39:01:00,4,10,0.4,3,9,0.333,0,0,,0,6,6,0,0,1,0,4,11,6.5,+5
