Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2020-01-17,25-270,MIA,@,OKC,W (+7),1,35:47:00,5,12,0.417,4,11,0.364,0,0,,0,3,3,3,0,0,0,4,14,9,+10
42,42,2020-01-19,25-272,MIA,@,SAS,L (-5),1,34:57:00,4,11,0.364,4,10,0.4,0,0,,0,5,5,0,1,1,1,3,12,6.9,+16
43,43,2020-01-20,25-273,MIA,,SAC,W (+5),1,37:32:00,4,11,0.364,4,10,0.4,0,0,,0,1,1,2,0,0,2,3,12,4.4,+4
44,44,2020-01-22,25-275,MIA,,WAS,W (+5),1,15:59,4,7,0.571,4,7,0.571,1,2,0.5,0,2,2,0,0,0,1,2,13,8.1,-5
45,45,2020-01-24,25-277,MIA,,LAC,L (-5),1,34:14:00,5,8,0.625,5,8,0.625,1,1,1,0,3,3,5,2,0,1,3,16,16.6,+20
46,46,2020-01-27,25-280,MIA,,ORL,W (+21),1,33:25:00,7,11,0.636,6,9,0.667,1,1,1,0,5,5,1,0,0,3,4,21,13.7,+25
47,47,2020-01-28,25-281,MIA,,BOS,L (-8),1,38:45:00,4,12,0.333,4,11,0.364,0,0,,0,5,5,2,0,0,0,5,12,6.1,+4
48,48,2020-02-01,25-285,MIA,@,ORL,W (+13),1,22:00,3,7,0.429,3,7,0.429,0,0,,0,1,1,3,0,0,1,0,9,6.7,+6
49,49,2020-02-03,25-287,MIA,,PHI,W (+31),1,33:58:00,4,9,0.444,4,8,0.5,7,9,0.778,0,2,2,3,0,0,0,4,19,14.6,+24
50,50,2020-02-05,25-289,MIA,@,LAC,L (-17),1,34:54:00,3,11,0.273,3,10,0.3,2,2,1,1,4,5,0,1,0,0,3,11,6.2,-7
51,51,2020-02-07,25-291,MIA,@,SAC,L (-8),1,41:33:00,6,9,0.667,6,9,0.667,0,0,,0,5,5,6,0,1,5,3,18,14.3,-2
52,52,2020-02-09,25-293,MIA,@,POR,L (-6),1,38:02:00,6,15,0.4,6,15,0.4,1,1,1,0,6,6,3,1,0,1,4,19,13.2,-7
53,53,2020-02-10,25-294,MIA,@,GSW,W (+12),1,36:47:00,6,14,0.429,5,13,0.385,0,0,,0,1,1,3,0,0,0,3,17,10.8,+22
54,54,2020-02-12,25-296,MIA,@,UTA,L (-15),1,30:30:00,6,13,0.462,6,13,0.462,0,0,,0,1,1,3,1,0,1,4,18,12.1,+11
55,55,2020-02-20,25-304,MIA,@,ATL,L (-5),1,33:26:00,4,12,0.333,1,8,0.125,1,1,1,0,2,2,2,0,0,1,1,10,3.8,+9
56,56,2020-02-22,25-306,MIA,,CLE,W (+19),1,32:15:00,7,12,0.583,5,10,0.5,0,0,,0,1,1,3,0,0,2,2,19,13,+14
57,57,2020-02-24,25-308,MIA,@,CLE,L (-6),1,37:09:00,5,14,0.357,5,11,0.455,0,0,,0,1,1,1,0,0,1,1,15,6.8,+4
58,58,2020-02-26,25-310,MIA,,MIN,L (-3),1,26:29:00,3,6,0.5,3,6,0.5,0,0,,1,3,4,1,1,0,3,1,9,5.9,-9
59,59,2020-02-28,25-312,MIA,,DAL,W (+8),1,36:00:00,8,11,0.727,6,9,0.667,2,2,1,0,5,5,1,1,0,1,2,24,20.9,+26
60,60,2020-02-29,25-313,MIA,,BRK,W (+3),1,27:59:00,3,7,0.429,2,6,0.333,2,2,1,0,3,3,0,1,0,0,3,10,7,+4
61,61,2020-03-02,25-315,MIA,,MIL,W (+16),1,33:39:00,3,8,0.375,3,7,0.429,0,0,,0,3,3,0,0,0,0,3,9,4.3,+6
62,62,2020-03-04,25-317,MIA,,ORL,W (+3),1,36:19:00,9,12,0.75,9,12,0.75,0,0,,0,2,2,0,1,0,3,2,27,20,+7
63,63,2020-03-06,25-319,MIA,@,NOP,L (-6),1,39:09:00,8,14,0.571,8,14,0.571,0,0,,0,5,5,4,0,0,3,2,24,17.9,+15
64,64,2020-03-08,25-321,MIA,@,WAS,W (+11),1,38:49:00,8,12,0.667,7,11,0.636,0,0,,0,7,7,2,1,2,3,3,23,19.5,+26
65,65,2020-03-11,25-324,MIA,,CHO,L (-11),1,35:04:00,3,13,0.231,3,13,0.231,3,3,1,0,4,4,2,2,0,1,2,12,6.9,+2
66,66,2020-08-01,26-101,MIA,@,DEN,W (+20),1,33:31:00,5,9,0.556,3,7,0.429,4,4,1,0,2,2,1,0,0,0,1,17,13.6,+28
67,67,2020-08-03,26-103,MIA,,TOR,L (-4),1,22:15,1,5,0.2,1,4,0.25,0,0,,0,2,2,0,0,1,0,1,3,0.8,-1
68,68,2020-08-04,26-104,MIA,,BOS,W (+6),1,29:25:00,6,12,0.5,5,11,0.455,4,4,1,1,2,3,2,0,1,2,3,21,15.2,+13
69,69,2020-08-06,26-106,MIA,@,MIL,L (-14),1,33:33:00,7,11,0.636,5,9,0.556,2,2,1,0,1,1,1,0,0,3,3,21,12.9,-20
70,70,2020-08-08,26-108,MIA,,PHO,L (-7),1,37:03:00,7,15,0.467,4,12,0.333,7,7,1,0,3,3,3,0,2,1,0,25,20.7,-12
71,71,2020-08-10,26-110,MIA,,IND,W (+22),1,31:33:00,5,11,0.455,4,10,0.4,0,0,,0,5,5,0,0,0,1,3,14,7.6,+24
72,72,2020-08-12,26-112,MIA,@,OKC,L (-1),1,15:39,6,8,0.75,5,7,0.714,2,2,1,0,2,2,3,0,0,1,2,19,16.7,+9
73,73,2020-08-14,26-114,MIA,@,IND,L (-17),1,13:24,0,3,0,0,3,0,0,0,,0,2,2,1,0,0,2,1,0,-3.2,-5
1,1,2020-12-23,26-245,MIA,@,ORL,L (-6),1,30:20:00,4,8,0.5,3,6,0.5,3,3,1,0,5,5,1,0,0,1,2,14,10.4,-5
2,2,2020-12-25,26-247,MIA,,NOP,W (+13),1,32:02:00,8,14,0.571,7,13,0.538,0,0,,0,5,5,0,0,0,1,3,23,15.7,+5
3,3,2020-12-29,26-251,MIA,,MIL,L (-47),1,24:04:00,1,4,0.25,1,4,0.25,1,1,1,0,2,2,1,1,1,3,2,4,0.8,-30
4,4,2020-12-30,26-252,MIA,,MIL,W (+11),1,23:49,2,4,0.5,2,4,0.5,3,3,1,0,3,3,0,2,0,2,1,9,7.5,+4
5,5,2021-01-01,26-254,MIA,@,DAL,L (-10),1,33:27:00,1,8,0.125,1,8,0.125,2,4,0.5,0,6,6,3,1,0,2,1,5,1.5,+4
6,6,2021-01-04,26-257,MIA,,OKC,W (+28),1,33:08:00,4,11,0.364,4,10,0.4,0,0,,0,4,4,3,1,0,2,2,12,7.4,+21
7,7,2021-01-06,26-259,MIA,,BOS,L (-2),1,31:09:00,5,11,0.455,5,11,0.455,1,1,1,0,6,6,2,1,0,0,2,16,13.7,+12
8,8,2021-01-09,26-262,MIA,@,WAS,W (+4),1,34:34:00,2,8,0.25,2,8,0.25,1,2,0.5,0,5,5,2,0,1,0,1,7,5,+10
9,9,2021-01-12,26-265,MIA,@,PHI,L (-3),1,45:44:00,8,18,0.444,6,14,0.429,4,5,0.8,0,2,2,1,1,1,2,2,26,16.4,+14
10,10,2021-01-14,26-267,MIA,@,PHI,L (-17),1,33:57:00,9,14,0.643,4,8,0.5,0,0,,0,2,2,1,0,0,3,3,22,12.9,-19
11,11,2021-01-16,26-269,MIA,,DET,L (-20),1,35:27:00,6,10,0.6,5,8,0.625,5,5,1,0,4,4,3,0,1,0,1,22,21,-9
12,12,2021-01-18,26-271,MIA,,DET,W (+6),1,36:18:00,6,9,0.667,6,9,0.667,0,0,,0,3,3,3,0,0,3,2,18,13.3,+8
13,13,2021-01-20,26-273,MIA,@,TOR,W (+9),1,37:25:00,4,7,0.571,4,6,0.667,2,2,1,0,3,3,1,0,1,1,1,14,11.6,+4
14,14,2021-01-22,26-275,MIA,@,TOR,L (-20),1,34:18:00,4,8,0.5,3,6,0.5,0,0,,0,3,3,1,0,0,2,2,11,5.8,-18
15,15,2021-01-23,26-276,MIA,@,BRK,L (-4),1,41:45:00,6,15,0.4,3,11,0.273,3,3,1,0,5,5,1,0,0,2,2,18,9.3,-5
16,16,2021-01-25,26-278,MIA,@,BRK,L (-13),1,38:19:00,1,10,0.1,1,10,0.1,4,4,1,0,5,5,2,0,1,1,2,7,2.2,-12
17,17,2021-01-27,26-280,MIA,,DEN,L (-27),1,36:28:00,3,11,0.273,2,10,0.2,0,0,,0,5,5,3,0,0,3,3,8,0.9,-17
18,18,2021-01-28,26-281,MIA,,LAC,L (-4),1,32:47:00,2,8,0.25,2,5,0.4,0,0,,1,4,5,3,1,0,0,2,6,5.4,-8
19,19,2021-01-30,26-283,MIA,,SAC,W (+1),1,34:56:00,5,9,0.556,4,8,0.5,0,0,,0,3,3,1,0,1,2,2,14,9.2,+6
20,20,2021-02-01,26-285,MIA,,CHO,L (-8),1,27:41:00,5,8,0.625,4,7,0.571,2,3,0.667,0,2,2,0,0,0,2,4,16,9,+2
21,21,2021-02-03,26-287,MIA,,WAS,L (-3),1,27:53:00,3,9,0.333,3,8,0.375,0,0,,0,2,2,3,1,0,1,2,9,5.8,+3
22,22,2021-02-05,26-289,MIA,,WAS,W (+27),1,26:22:00,2,9,0.222,2,9,0.222,0,0,,0,1,1,2,0,0,2,3,6,-1,+22
23,23,2021-02-07,26-291,MIA,@,NYK,W (+6),1,36:26:00,4,10,0.4,4,10,0.4,0,1,0,0,6,6,2,0,0,1,1,12,8,+5
24,24,2021-02-09,26-293,MIA,,NYK,W (+2),1,32:50:00,0,7,0,0,5,0,4,4,1,0,5,5,1,0,0,1,3,4,-0.9,-12
25,25,2021-02-11,26-295,MIA,@,HOU,W (+7),1,26:53:00,5,11,0.455,5,11,0.455,0,0,,0,1,1,2,0,0,2,5,15,7,+14
26,26,2021-02-13,26-297,MIA,@,UTA,L (-18),1,27:59:00,3,6,0.5,2,4,0.5,0,0,,0,5,5,0,1,0,0,2,8,6.7,-20
27,27,2021-02-15,26-299,MIA,@,LAC,L (-7),1,34:45:00,5,13,0.385,3,11,0.273,0,0,,0,4,4,1,0,0,0,4,13,6.2,+5
28,28,2021-02-17,26-301,MIA,@,GSW,L (-8),1,39:50:00,5,12,0.417,3,10,0.3,0,0,,0,4,4,0,2,0,2,3,13,6.6,-13
29,29,2021-02-18,26-302,MIA,@,SAC,W (+8),1,33:39:00,7,13,0.538,5,11,0.455,1,1,1,0,2,2,3,1,0,1,3,20,15.2,+11
30,30,2021-02-20,26-304,MIA,@,LAL,W (+2),1,32:55:00,3,8,0.375,1,5,0.2,4,6,0.667,1,9,10,1,0,0,1,6,11,6.5,0
31,31,2021-02-22,26-306,MIA,@,OKC,W (+14),1,36:54:00,8,15,0.533,6,13,0.462,0,0,,0,7,7,0,2,0,0,4,22,17.2,+8
32,32,2021-02-24,26-308,MIA,,TOR,W (+8),1,39:16:00,6,11,0.545,4,9,0.444,1,1,1,0,2,2,2,1,0,1,2,17,12.9,+11
33,33,2021-02-26,26-310,MIA,,UTA,W (+8),1,34:42:00,5,9,0.556,4,7,0.571,1,1,1,0,6,6,1,0,0,2,5,15,9.2,+5
34,34,2021-02-28,26-312,MIA,,ATL,W (+10),1,35:13:00,2,9,0.222,1,8,0.125,0,0,,0,3,3,3,1,0,1,3,5,1.3,+2
35,35,2021-03-02,26-314,MIA,,ATL,L (-14),1,30:47:00,5,11,0.455,4,9,0.444,0,0,,0,1,1,1,0,1,1,2,14,8.2,-8
36,36,2021-03-04,26-316,MIA,@,NOP,W (+10),1,28:27:00,2,4,0.5,1,3,0.333,0,0,,0,5,5,4,0,0,0,2,5,6.5,-1
37,37,2021-03-11,26-323,MIA,,ORL,W (+8),1,22:28,3,12,0.25,3,12,0.25,0,0,,1,1,2,1,0,0,0,2,9,2.7,-11
38,38,2021-03-12,26-324,MIA,@,CHI,W (+11),1,29:40:00,5,9,0.556,5,8,0.625,0,0,,0,5,5,2,3,0,0,1,15,16.2,+6
39,39,2021-03-14,26-326,MIA,@,ORL,W (+5),1,35:15:00,5,14,0.357,4,12,0.333,0,0,,1,4,5,3,1,0,0,2,14,10.4,-3
40,40,2021-03-16,26-328,MIA,,CLE,W (+15),1,26:37:00,5,9,0.556,4,8,0.5,0,0,,0,1,1,1,2,0,0,1,14,12.3,-2
41,41,2021-03-17,26-329,MIA,@,MEM,L (-4),1,32:20:00,4,13,0.308,3,11,0.273,2,3,0.667,0,6,6,0,1,0,1,1,13,6.5,+3
42,42,2021-03-19,26-331,MIA,,IND,L (-27),1,30:39:00,2,9,0.222,2,8,0.25,0,0,,0,1,1,2,1,0,1,3,6,1,-18
43,43,2021-03-21,26-333,MIA,,IND,L (-3),1,39:37:00,5,14,0.357,3,11,0.273,0,0,,0,5,5,5,0,1,0,2,13,10.1,+15
